config_id,final_loss,accuracy,accuracy_error,max_hidden_units,use_bias,weight_init_range,learning_rate,batch_size,seed,training_time,actual_hidden_units
64,0.5996113792548352,0.6782407407407407,0.044052611738053714,3,True,"(-1.0, 1.0)",0.05,8,42,0.04886341094970703,2
65,0.6011067639490293,0.7314814814814815,0.04179294612103568,3,True,"(-1.0, 1.0)",0.05,8,123,0.0783078670501709,3
66,0.5914585517192402,0.5138888888888888,0.0471320777821064,3,True,"(-1.0, 1.0)",0.05,8,456,0.07771468162536621,3
67,0.5847279647945511,0.7268518518518519,0.04201808727752391,3,True,"(-1.0, 1.0)",0.05,16,42,0.06831932067871094,3
68,0.597876924387992,0.6851851851851852,0.0437971409390823,3,True,"(-1.0, 1.0)",0.05,16,123,0.026719331741333008,1
69,0.5881857682080853,0.5254629629629629,0.04708909135602229,3,True,"(-1.0, 1.0)",0.05,16,456,0.0695960521697998,3
70,0.6131424869844923,0.6689814814814815,0.04437592217750578,3,True,"(-1.0, 1.0)",0.05,32,42,0.029851913452148438,2
71,0.5896736304263074,0.7337962962962963,0.04167820461154819,3,True,"(-1.0, 1.0)",0.05,32,123,0.06272339820861816,3
72,0.6441731496830682,0.6805555555555556,0.04396870347192746,3,True,"(-1.0, 1.0)",0.05,32,456,0.024140357971191406,1
73,0.612080647994108,0.6805555555555556,0.04396870347192746,3,True,"(-1.0, 1.0)",0.1,8,42,0.07729220390319824,3
74,0.6223162828561827,0.7337962962962963,0.04167820461154819,3,True,"(-1.0, 1.0)",0.1,8,123,0.07825183868408203,3
75,0.5987874708290458,0.5023148148148148,0.047149766684129846,3,True,"(-1.0, 1.0)",0.1,8,456,0.07757115364074707,3
76,0.5841963392455461,0.7037037037037037,0.043059821757163316,3,True,"(-1.0, 1.0)",0.1,16,42,0.06931519508361816,3
77,0.602844601885071,0.7291666666666666,0.04190623643026144,3,True,"(-1.0, 1.0)",0.1,16,123,0.06930875778198242,3
78,0.5918122191456433,0.5185185185185185,0.047117921879164464,3,True,"(-1.0, 1.0)",0.1,16,456,0.0684347152709961,3
79,0.5890942764828817,0.6689814814814815,0.04437592217750578,3,True,"(-1.0, 1.0)",0.1,32,42,0.03701353073120117,2
80,0.592219883976949,0.7314814814814815,0.04179294612103568,3,True,"(-1.0, 1.0)",0.1,32,123,0.06425213813781738,3
81,0.5889287921485095,0.5277777777777778,0.04707745298749356,3,True,"(-1.0, 1.0)",0.1,32,456,0.0635678768157959,3
102,0.6183299562293263,0.7106481481481481,0.042761668790578904,3,False,"(-0.1, 0.1)",0.1,8,456,0.02075934410095215,0
107,0.6221970182403472,0.7060185185185185,0.04296177648388593,3,False,"(-0.1, 0.1)",0.1,32,123,0.017589569091796875,0
129,0.6184311058729463,0.7106481481481481,0.042761668790578904,3,False,"(-0.5, 0.5)",0.1,8,456,0.020505189895629883,0
130,0.6081605013637761,0.7037037037037037,0.043059821757163316,3,False,"(-0.5, 0.5)",0.1,16,42,0.014892816543579102,0
