config_id,mean_loss,mean_accuracy,std_accuracy,max_hidden_units,use_bias,weight_init,learning_rate,batch_size,max_epochs,seed,training_time,fold_accuracies,fold_losses
192,0.5847830213284044,0.6696666666666667,0.08422456754283619,3,True,he,0.05,8,50,456,0.13302993774414062,"[0.52, 0.64, 0.76, 0.72, 0.7083333333333334]","[np.float64(0.5944999897485278), np.float64(0.6201625044912633), np.float64(0.5575968470019474), np.float64(0.5989870448407821), np.float64(0.5526687205595018)]"
193,0.5816795738539776,0.6940000000000001,0.11377170122662314,3,True,he,0.05,8,100,42,0.24262666702270508,"[0.48, 0.68, 0.76, 0.8, 0.75]","[np.float64(0.5786647947886114), np.float64(0.6134114691813958), np.float64(0.5663291722616659), np.float64(0.5964954872961886), np.float64(0.5534969457420262)]"
194,0.5926415574565667,0.6536666666666667,0.11360946752410694,3,True,he,0.05,8,100,123,0.22658085823059082,"[0.44, 0.64, 0.72, 0.76, 0.7083333333333334]","[np.float64(0.5749201180361508), np.float64(0.6234765833053729), np.float64(0.607748894434319), np.float64(0.595211543797207), np.float64(0.5618506477097831)]"
195,0.5797021282948711,0.6136666666666668,0.06633584584856399,3,True,he,0.05,8,100,456,0.181380033493042,"[0.52, 0.64, 0.56, 0.64, 0.7083333333333334]","[np.float64(0.5944999897485278), np.float64(0.6201625044912633), np.float64(0.5483771871317166), np.float64(0.584419616403525), np.float64(0.5510513436993224)]"
196,0.5821900695102408,0.6616666666666667,0.11926627538598011,3,True,he,0.05,8,150,42,0.28141093254089355,"[0.44, 0.64, 0.76, 0.76, 0.7083333333333334]","[np.float64(0.5898321355127001), np.float64(0.612433097307129), np.float64(0.5535589324410386), np.float64(0.5957536073456394), np.float64(0.5593725749446968)]"
197,0.5820187121822868,0.6456666666666667,0.10705969259145935,3,True,he,0.05,8,150,123,0.3071253299713135,"[0.48, 0.56, 0.72, 0.76, 0.7083333333333334]","[np.float64(0.5862926559739498), np.float64(0.6043253567040733), np.float64(0.5493511167920777), np.float64(0.6089520066261165), np.float64(0.5611724248152173)]"
198,0.5804602204243656,0.6136666666666668,0.06633584584856399,3,True,he,0.05,8,150,456,0.1912398338317871,"[0.52, 0.64, 0.56, 0.64, 0.7083333333333334]","[np.float64(0.5944999897485278), np.float64(0.6201625044912633), np.float64(0.5483771871317166), np.float64(0.5844362710352884), np.float64(0.554825149715032)]"
199,0.5858261512942949,0.6776666666666666,0.16539380614494337,3,True,he,0.05,16,50,42,0.12292957305908203,"[0.36, 0.84, 0.76, 0.72, 0.7083333333333334]","[np.float64(0.5801641330287245), np.float64(0.60884222474714), np.float64(0.557088539961518), np.float64(0.6084491036522924), np.float64(0.5745867550817997)]"
200,0.5881279166972331,0.6853333333333332,0.06455316499685444,3,True,he,0.05,16,50,123,0.11842131614685059,"[0.68, 0.68, 0.6, 0.8, 0.6666666666666666]","[np.float64(0.605938368275164), np.float64(0.6092197834482916), np.float64(0.5564904679970422), np.float64(0.5941807539491221), np.float64(0.5748102098165454)]"
201,0.5835269602368024,0.6613333333333333,0.10279645475944738,3,True,he,0.05,16,50,456,0.13315510749816895,"[0.48, 0.64, 0.76, 0.76, 0.6666666666666666]","[np.float64(0.5888444147725564), np.float64(0.6030179650016843), np.float64(0.553062687322794), np.float64(0.6065946478536657), np.float64(0.566115086233312)]"
202,0.5765054292448374,0.6296666666666668,0.08310903146536552,3,True,he,0.05,16,100,42,0.20647597312927246,"[0.48, 0.68, 0.6, 0.68, 0.7083333333333334]","[np.float64(0.5729459551221912), np.float64(0.6148027010269744), np.float64(0.5470485952528619), np.float64(0.5976759975197516), np.float64(0.5500538973024074)]"
203,0.5823663950811488,0.7096666666666667,0.029672284112357165,3,True,he,0.05,16,100,123,0.17255330085754395,"[0.68, 0.68, 0.72, 0.76, 0.7083333333333334]","[np.float64(0.605938368275164), np.float64(0.6017460714852995), np.float64(0.5549596651441149), np.float64(0.5914870726627126), np.float64(0.5577007978384528)]"
