config_id,mean_loss,mean_accuracy,std_accuracy,max_hidden_units,use_bias,weight_init,learning_rate,batch_size,max_epochs,seed,training_time,fold_accuracies,fold_losses
53,0.5660549492235255,72.60936895083238,2.7082290368223054,6,True,xavier,0.1,8,200,42,0.22616934776306152,"['69.05%', '73.17%', '75.61%']","['0.576806', '0.518531', '0.602828']"
54,0.5648033360913699,72.60936895083238,2.7082290368223054,6,True,xavier,0.1,8,300,42,0.25638866424560547,"['69.05%', '73.17%', '75.61%']","['0.576806', '0.518531', '0.599073']"
55,0.5616997938147951,67.75067750677506,4.055997167234627,6,True,xavier,0.1,16,200,42,0.2337324619293213,"['66.67%', '63.41%', '73.17%']","['0.577274', '0.506605', '0.601220']"
56,0.5600956010606047,65.29229578010067,3.3192046847478784,6,True,xavier,0.1,16,300,42,0.2971465587615967,"['69.05%', '60.98%', '65.85%']","['0.575740', '0.509751', '0.594795']"
57,0.5651098551218995,66.12466124661246,5.986645537770875,6,True,xavier,0.2,8,200,42,0.3035106658935547,"['66.67%', '58.54%', '73.17%']","['0.580844', '0.513907', '0.600579']"
58,0.5630350516446342,66.93766937669376,2.993322768885438,6,True,xavier,0.2,8,300,42,0.4132723808288574,"['66.67%', '70.73%', '63.41%']","['0.580839', '0.507911', '0.600354']"
59,0.5630448300585115,63.72435152922958,7.087852025807236,6,True,xavier,0.2,16,200,42,0.266674280166626,"['61.90%', '56.10%', '73.17%']","['0.583385', '0.510866', '0.594883']"
60,0.5610184497093931,69.35733643050717,4.98345218325786,6,True,xavier,0.2,16,300,42,0.3173060417175293,"['69.05%', '63.41%', '75.61%']","['0.575696', '0.506229', '0.601131']"
61,0.5653271902494986,64.6147890050329,8.650628836815677,6,True,he,0.05,8,200,42,0.19716596603393555,"['52.38%', '70.73%', '70.73%']","['0.573838', '0.513967', '0.608176']"
62,0.5602728395623969,67.03445605884632,8.67800424452712,6,True,he,0.05,8,300,42,0.4098820686340332,"['54.76%', '73.17%', '73.17%']","['0.572618', '0.508135', '0.600066']"
63,0.5640138584634592,62.98877274487031,8.492732169711637,6,True,he,0.05,16,200,42,0.23261523246765137,"['52.38%', '73.17%', '63.41%']","['0.575733', '0.511360', '0.604949']"
64,0.5618174469940622,63.78242353852111,6.682123376376233,6,True,he,0.05,16,300,42,0.3523235321044922,"['54.76%', '70.73%', '65.85%']","['0.572140', '0.511881', '0.601432']"
65,0.5620676539968789,62.13704994192799,6.103917929603215,6,True,he,0.1,8,200,42,0.2919745445251465,"['57.14%', '70.73%', '58.54%']","['0.576782', '0.508343', '0.601078']"
66,0.5634418705430683,65.3890824622532,5.915368909754634,6,True,he,0.1,8,300,42,0.31165027618408203,"['57.14%', '70.73%', '68.29%']","['0.576782', '0.508309', '0.605234']"
67,0.5607472126951017,70.28648857917152,10.977538492288248,6,True,he,0.1,16,200,42,0.25710320472717285,"['54.76%', '78.05%', '78.05%']","['0.572395', '0.509158', '0.600689']"
68,0.5599206138642564,71.09949670925282,11.595254574540109,6,True,he,0.1,16,300,42,0.31951212882995605,"['54.76%', '78.05%', '80.49%']","['0.572395', '0.510155', '0.597212']"
69,0.5662677401295283,63.82113821138211,9.973857029581543,6,True,he,0.2,8,200,42,0.3047318458557129,"['50.00%', '68.29%', '73.17%']","['0.580844', '0.513131', '0.604828']"
70,0.5636291223456609,62.17576461478901,7.542707293297596,6,True,he,0.2,8,300,42,0.4142570495605469,"['52.38%', '63.41%', '70.73%']","['0.580840', '0.508829', '0.601218']"
71,0.5621795643913442,67.0150987224158,7.051386404952634,6,True,he,0.2,16,200,42,0.2667732238769531,"['57.14%', '70.73%', '73.17%']","['0.583399', '0.508411', '0.594728']"
72,0.5597885978478321,65.3890824622532,9.087480902215356,6,True,he,0.2,16,300,42,0.3723878860473633,"['57.14%', '60.98%', '78.05%']","['0.575695', '0.506233', '0.597437']"
73,0.5608965363269127,68.56368563685636,7.097995042660593,7,True,xavier,0.05,8,200,42,0.28058314323425293,"['66.67%', '60.98%', '78.05%']","['0.573621', '0.509707', '0.599362']"
74,0.5633240321227563,60.43360433604335,6.649238019721025,7,True,xavier,0.05,8,300,42,0.25417232513427734,"['66.67%', '63.41%', '51.22%']","['0.572604', '0.511812', '0.605556']"
75,0.5654458803919854,78.28106852497098,4.946699056689164,7,True,xavier,0.05,16,200,42,0.1974163055419922,"['71.43%', '80.49%', '82.93%']","['0.580208', '0.509656', '0.606474']"
76,0.5641703016083018,70.96399535423926,7.9725910809433325,7,True,xavier,0.05,16,300,42,0.21657061576843262,"['71.43%', '80.49%', '60.98%']","['0.580208', '0.507856', '0.604447']"
