config_id,final_loss,accuracy,accuracy_error,max_hidden_units,use_bias,weight_init_range,learning_rate,seed,training_time,actual_hidden_units
61,0.44454887118860015,0.6666666666666666,0.044453702739398415,4,True,"(-0.1, 0.1)",0.1,42,0.023000717163085938,1
62,0.44454760231490303,0.6666666666666666,0.044453702739398415,4,True,"(-0.1, 0.1)",0.1,123,0.02330183982849121,1
63,0.4445441453725665,0.6666666666666666,0.044453702739398415,4,True,"(-0.1, 0.1)",0.1,456,0.02374100685119629,1
64,0.6239264825993468,0.6875,0.043709471969068846,4,True,"(-0.5, 0.5)",0.01,42,0.015828847885131836,1
65,0.6231619951722964,0.6736111111111112,0.0442167178128923,4,True,"(-0.5, 0.5)",0.01,123,0.004626035690307617,0
66,0.6237174531705181,0.6666666666666666,0.044453702739398415,4,True,"(-0.5, 0.5)",0.01,456,0.02119302749633789,1
67,0.5657605165406066,0.6643518518518519,0.044530277405614854,4,True,"(-0.5, 0.5)",0.05,42,0.02594280242919922,1
68,0.5657543472617326,0.6458333333333334,0.0451001792709019,4,True,"(-0.5, 0.5)",0.05,123,0.02508401870727539,1
69,0.5657919884689392,0.6550925925925926,0.04482463925709305,4,True,"(-0.5, 0.5)",0.05,456,0.026203632354736328,1
70,0.4445693494907235,0.6643518518518519,0.044530277405614854,4,True,"(-0.5, 0.5)",0.1,42,0.02256321907043457,1
71,0.4445596590761311,0.6643518518518519,0.044530277405614854,4,True,"(-0.5, 0.5)",0.1,123,0.02366328239440918,1
72,0.4445440376406194,0.6666666666666666,0.044453702739398415,4,True,"(-0.5, 0.5)",0.1,456,0.023771286010742188,1
73,0.6229030131800043,0.6944444444444444,0.043438822481537555,4,True,"(-1.0, 1.0)",0.01,42,0.010641813278198242,0
74,0.6228723681832173,0.5972222222222222,0.04625033984477027,4,True,"(-1.0, 1.0)",0.01,123,0.015468120574951172,1
75,0.6237226635016205,0.6550925925925926,0.04482463925709305,4,True,"(-1.0, 1.0)",0.01,456,0.022158384323120117,1
76,0.56578850422549,0.6643518518518519,0.044530277405614854,4,True,"(-1.0, 1.0)",0.05,42,0.024515151977539062,1
77,0.5657303001020204,0.6203703703703703,0.04576355692366518,4,True,"(-1.0, 1.0)",0.05,123,0.024209022521972656,1
78,0.5657900231749485,0.6412037037037037,0.04523099950005266,4,True,"(-1.0, 1.0)",0.05,456,0.025139808654785156,1
79,0.4446251625802506,0.6597222222222222,0.04467983375412043,4,True,"(-1.0, 1.0)",0.1,42,0.0228574275970459,1
80,0.2979138149352,0.5601851851851852,0.046807444885269014,4,True,"(-1.0, 1.0)",0.1,123,0.002081632614135742,0
81,0.44455190006319806,0.6666666666666666,0.044453702739398415,4,True,"(-1.0, 1.0)",0.1,456,0.02296304702758789,1
100,0.6152653461978217,0.7060185185185185,0.04296177648388593,4,False,"(-1.0, 1.0)",0.01,42,0.014637470245361328,0
103,0.6527150410482294,0.6527777777777778,0.04489527486611558,4,False,"(-1.0, 1.0)",0.05,42,0.005913257598876953,0
109,0.6238049543682749,0.6967592592592593,0.04334603194892665,5,True,"(-0.1, 0.1)",0.01,42,0.018691062927246094,1
110,0.6237904111408544,0.6898148148148148,0.04362053444917033,5,True,"(-0.1, 0.1)",0.01,123,0.020183086395263672,1
111,0.6237949870876627,0.6898148148148148,0.04362053444917033,5,True,"(-0.1, 0.1)",0.01,456,0.020552873611450195,1
112,0.565719275210415,0.6666666666666666,0.044453702739398415,5,True,"(-0.1, 0.1)",0.05,42,0.02518010139465332,1
113,0.5657192351686353,0.6643518518518519,0.044530277405614854,5,True,"(-0.1, 0.1)",0.05,123,0.025212526321411133,1
114,0.5657081235281353,0.6643518518518519,0.044530277405614854,5,True,"(-0.1, 0.1)",0.05,456,0.026128292083740234,1
115,0.44454887118860015,0.6666666666666666,0.044453702739398415,5,True,"(-0.1, 0.1)",0.1,42,0.023061275482177734,1
116,0.44454760231490303,0.6666666666666666,0.044453702739398415,5,True,"(-0.1, 0.1)",0.1,123,0.02995133399963379,1
117,0.4445441453725665,0.6666666666666666,0.044453702739398415,5,True,"(-0.1, 0.1)",0.1,456,0.023439407348632812,1
118,0.6239264825993468,0.6875,0.043709471969068846,5,True,"(-0.5, 0.5)",0.01,42,0.015964031219482422,1
119,0.6231619951722964,0.6736111111111112,0.0442167178128923,5,True,"(-0.5, 0.5)",0.01,123,0.005335092544555664,0
120,0.6237174531705181,0.6666666666666666,0.044453702739398415,5,True,"(-0.5, 0.5)",0.01,456,0.022113561630249023,1
121,0.5657605165406066,0.6643518518518519,0.044530277405614854,5,True,"(-0.5, 0.5)",0.05,42,0.026047468185424805,1
122,0.5657543472617326,0.6458333333333334,0.0451001792709019,5,True,"(-0.5, 0.5)",0.05,123,0.02512812614440918,1
123,0.5657919884689392,0.6550925925925926,0.04482463925709305,5,True,"(-0.5, 0.5)",0.05,456,0.025626182556152344,1
124,0.4445693494907235,0.6643518518518519,0.044530277405614854,5,True,"(-0.5, 0.5)",0.1,42,0.023315906524658203,1
125,0.4445596590761311,0.6643518518518519,0.044530277405614854,5,True,"(-0.5, 0.5)",0.1,123,0.023385286331176758,1
